LONGITUDE,LATITUDE,LABEL,LAYER,SYMBOL,KML_STYL
-80.25537,25.873091,14048,"""""","""""",""""""
-80.282977,26.3347482,14051,"""""","""""",""""""
-80.1954005,25.7717038,14052,"""""","""""",""""""
-80.2951198,25.3126204,14062,"""""","""""",""""""
-80.2918735,25.3122416,14065,"""""","""""",""""""
-80.1517391,26.2358131,14066,"""""","""""",""""""
-80.2788993,25.3142669,14067,"""""","""""",""""""
-80.469924,25.5013914,14070,"""""","""""",""""""
-80.628398,28.037177,14074,"""""","""""",""""""
-80.2833634,25.8643932,14076,"""""","""""",""""""
-80.3273359,25.6574503,14077,"""""","""""",""""""
-80.3665707,25.8828646,14078,"""""","""""",""""""
-80.2609366,25.706685,14079,"""""","""""",""""""
-80.2618728,25.707469,14079,"""""","""""",""""""
-80.2839288,25.2940978,14080,"""""","""""",""""""
-80.4735662,25.4438673,14083,"""""","""""",""""""
-80.4462837,25.5241007,14086,"""""","""""",""""""
-80.2628672,25.7712257,14089,"""""","""""",""""""
-80.2516156,25.7083248,14092,"""""","""""",""""""
-80.361901,25.7104361,14094,"""""","""""",""""""
-80.2823667,25.3218363,14095,"""""","""""",""""""
-80.1863222,26.2956803,14104,"""""","""""",""""""
-80.2539581,26.0949476,14107,"""""","""""",""""""
-80.2918203,25.3068655,14117,"""""","""""",""""""
-80.1308478,25.8150286,14118,"""""","""""",""""""
-80.2387814,25.7499755,14122,"""""","""""",""""""
-80.326546,25.7055601,14123,"""""","""""",""""""
-80.2103621,25.8965895,14124,"""""","""""",""""""
-80.2802622,25.3115435,14125,"""""","""""",""""""
-80.1308223,26.1751137,14129,"""""","""""",""""""
-80.3251116,25.6478325,14131,"""""","""""",""""""
-80.3248927,25.6478387,14131,"""""","""""",""""""
-80.2877794,25.7022366,14139,"""""","""""",""""""
-80.3360707,25.6780527,14145,"""""","""""",""""""
-80.4066182,25.9206714,14146,"""""","""""",""""""
-80.2850357,25.3241626,14166,"""""","""""",""""""
-80.2789437,25.3162133,14172,"""""","""""",""""""
-80.2927575,25.3078063,14178,"""""","""""",""""""
-80.2421093,25.9363258,14181,"""""","""""",""""""
-80.2251785,25.9411301,14182,"""""","""""",""""""
-80.5125211,25.5717151,14183,"""""","""""",""""""
-80.3134351,25.6550349,14188,"""""","""""",""""""
-80.2841636,25.6698281,14188,"""""","""""",""""""
-80.2844589,25.6785757,14188,"""""","""""",""""""
-80.119013,26.2995149,14190,"""""","""""",""""""
-80.2753879,25.3139286,14199,"""""","""""",""""""
-80.380594,26.0923702,14201,"""""","""""",""""""
-80.1405062,25.7966008,14203,"""""","""""",""""""
-80.3182195,25.6552915,14214,"""""","""""",""""""
-80.3182637,25.6586004,14214,"""""","""""",""""""
-80.3690449,25.7645586,14215,"""""","""""",""""""
-80.3545682,25.7444267,14216,"""""","""""",""""""
-80.1942224,25.7722885,14223,"""""","""""",""""""
-80.3263036,25.8107019,14224,"""""","""""",""""""
-80.2907119,25.3061541,14225,"""""","""""",""""""
-80.12092,25.9374651,14230,"""""","""""",""""""
-80.2744509,25.318218,14231,"""""","""""",""""""
-80.2730572,25.3205128,14233,"""""","""""",""""""
-80.2909512,25.696651,14240,"""""","""""",""""""
-80.2668351,25.7158367,14242,"""""","""""",""""""
-80.2882359,25.3243869,14248,"""""","""""",""""""
-80.1916262,25.8275314,14250,"""""","""""",""""""
-80.1671133,25.6911482,14261,"""""","""""",""""""
